SiteID,Location,Apt,City,1st_Btl_ID,2nd_Btl_ID,1stDraw_SampDT,2ndDraw_SampDT,1stDraw_Pb_ppb,2ndDraw_Pb_ppb,1stDraw_Cu_ppb,2ndDraw_Cu_ppb,1stDraw_Specific_Conductance_uS/cm,2ndDraw_Specific_Conductance_uS/cm,1stDraw_Pb-TestDT,2ndDraw_Pb-TestDT,1stDraw_Cu-TestDT,2ndDraw_Cu-TestDT,1stDraw_SC-TestDT,2ndDraw_SC-TestDT,Testing_Lab
18103304J,345  EAST 101ST STREET,04J,NEW YORK,AL-58776,AL-58777,3/18/16 17:55,3/18/16 18:00,1249,0,1757,7,431.2,438.1,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
31307101K,2041  PACIFIC STREET,01K,BROOKLYN,AL-58832,AL-58833,3/18/16 17:02,3/18/16 17:05,947,3,1083,15,94.1,93.1,3/24/16,3/22/16,3/24/16,3/22/16,3/22/16,3/22/16,Lefrak
05200604E,34  DONGAN HILLS AVENUE,04E,STATEN ISLAND,AL-58466,AL-58467,3/18/16 18:00,3/18/16 18:03,675,158,7734,723,142.2,99.2,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
20000308H,110-01  62ND DRIVE,08H,FOREST HILLS,AL-58784,AL-58785,3/18/16 23:33,3/18/16 23:35,541,0,599,22,93.9,91.1,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
00704901B,16  JACKSON STREET,01B,NEW YORK,AL-58328,AL-58329,3/18/16 16:56,3/18/16 16:58,99,1,142,8,97.1,95.5,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
12400409A,2029  2ND AVENUE,09A,NEW YORK,AL-58714,AL-58715,3/18/16 18:35,3/18/16 18:38,89,0,2135,7,428.7,430.1,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
04802906G,15-Dec  36TH AVENUE,06G,ASTORIA,AL-58440,AL-58441,3/18/16 18:48,3/18/16 18:51,88,0,169,7,95.7,94.7,3/21/16,3/18/16,3/21/16,3/21/16,3/20/16,3/20/16,Kingston
00601301C,648  WATER STREET,01C,NEW YORK,AL-58318,AL-58319,3/18/16 16:44,3/18/16 16:46,53,0,295,14,96.5,95.3,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
14200307C,3031  WEST 25TH STREET,07C,BROOKLYN,AL-58736,AL-58737,3/18/16 16:20,3/18/16 16:24,39,0,385,45,95.6,95,3/23/16,3/22/16,3/23/16,3/22/16,3/22/16,3/22/16,Lefrak
11100504A,200  WEST 143RD STREET,04A,NEW YORK,AL-58682,AL-58683,3/18/16 18:15,3/18/16 18:17,37,1,146,19,404.1,414,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
03305001D,50-25  NEWTOWN ROAD,01D,WOODSIDE,AL-58390,AL-58391,3/18/16 16:17,3/18/16 16:19,32,0,132,4,90.4,91.2,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
00503805B,41-07  VERNON BOULEVARD,05B,LONG ISLAND CITY,AL-58314,AL-58315,3/18/16 17:11,3/18/16 17:13,17,5,172,85,91.3,90,3/18/16,3/18/16,3/21/16,3/21/16,3/20/16,3/20/16,Kingston
00601504E,640  WATER STREET,04E,NEW YORK,AL-58320,AL-58321,3/18/16 16:24,3/18/16 16:30,17,3,169,76,96.5,96.3,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
08100114J,545  WEST 126TH STREET,14J,NEW YORK,AL-58566,AL-58567,3/18/16 18:05,3/18/16 18:07,14,0,100,14,95.6,94.8,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
08001105L,580  CASTLE HILL AVENUE,05L,BRONX,AL-58562,AL-58563,3/18/16 16:50,3/18/16 16:54,12,3,413,51,285.9,280.6,3/24/16,3/21/16,3/24/16,3/23/16,3/21/16,3/21/16,Lefrak
16600309G,2832  WEST 23RD STREET,09G,BROOKLYN,AL-58764,AL-58765,3/18/16 17:10,3/18/16 17:15,12,0,603,69,95.9,95.9,3/24/16,3/23/16,3/24/16,3/23/16,3/22/16,3/22/16,Lefrak
11400907G,77  HILL STREET,07G,STATEN ISLAND,AL-58696,AL-58697,3/18/16 16:06,3/18/16 16:08,11,0,94,14,92.2,92,3/18/16,3/18/16,3/21/16,3/21/16,3/20/16,3/20/16,Kingston
08001401F,535  HAVEMEYER AVENUE,01F,BRONX,AL-58564,AL-58565,3/18/16 17:16,3/18/16 17:17,9,7,154,235,250.6,246.1,3/20/16,3/20/16,3/23/16,3/23/16,3/21/16,3/21/16,Lefrak
11100313F,2698  FREDERICK DOUGLASS BOULEVARD,13F,NEW YORK,AL-58680,AL-58681,3/18/16 18:37,3/18/16 18:39,8,12,40,29,423.8,425.4,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
22700904G,365 EAST 183RD STREET  WING F,04G,Bronx,AL-58806,AL-58807,3/18/16 16:49,3/18/16 16:51,7,0,47,5,98.8,96.8,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,Lefrak
04803605A,35-06  21ST STREET,05A,ASTORIA,AL-58442,AL-58443,3/18/16 19:14,3/18/16 19:18,7,0,55,6,95.7,94.7,3/18/16,3/18/16,3/21/16,3/21/16,3/20/16,3/20/16,Kingston
08700104K,3170  BROADWAY,04K,NEW YORK,AL-58596,AL-58597,3/18/16 17:24,3/18/16 17:25,7,1,15,5,484.2,463.7,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
03901804G,2384  PAULDING AVENUE,04G,BRONX,AL-58408,AL-58409,3/18/16 17:07,3/18/16 17:08,6,0,126,38,93.7,93.8,3/21/16,3/21/16,3/23/16,3/21/16,3/21/16,3/21/16,Lefrak
26700214D,3073  PARK AVENUE,14D,BRONX,AL-58822,AL-58823,3/18/16 17:01,3/18/16 17:10,6,0,49,19,95,94.7,3/21/16,3/21/16,3/23/16,3/21/16,3/21/16,3/21/16,Lefrak
11200305E,435  EAST 105TH STREET,05E,NEW YORK,AL-58688,AL-58689,3/18/16 19:05,3/18/16 19:09,6,0,84,5,415.4,421.4,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
14101121F,1270  WEBSTER AVENUE,21F,BRONX,AL-58728,AL-58729,3/18/16 16:49,3/18/16 16:57,5,0,526,45,94.9,93.6,3/21/16,3/21/16,3/23/16,3/23/16,3/21/16,3/21/16,Lefrak
24700404D,330  WILSON AVENUE,04D,BROOKLYN,AL-58818,AL-58819,3/18/16 16:56,3/18/16 16:56,5,0,61,18,95.3,93.3,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
35105504A,1474  PARK PLACE,04A,BROOKLYN,AL-58850,AL-58851,3/18/16 17:36,3/18/16 17:38,5,0,170,18,94.4,94.4,3/23/16,3/23/16,3/23/16,3/22/16,3/22/16,3/22/16,Lefrak
05501404B,13-10  REDFERN AVENUE,04B,FAR ROCKAWAY,AL-58478,AL-58479,3/18/16 17:19,3/18/16 17:21,4,0,45,8,91.2,90.7,3/18/16,3/18/16,3/21/16,3/21/16,3/20/16,3/20/16,Kingston
12400401G,2029  2ND AVENUE,01G,NEW YORK,AL-58712,AL-58713,3/18/16 18:46,3/18/16 18:49,4,0,225,11,409.8,431.1,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
03602604C,2953  AVENUE W,04C,BROOKLYN,AL-58398,AL-58399,3/18/16 16:21,3/18/16 16:23,3,0,138,25,94.1,93.4,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
04400701C,5709  AVENUE H,01C,BROOKLYN,AL-58422,AL-58423,3/18/16 16:40,3/18/16 16:40,3,0,91,22,94.5,93.7,3/21/16,3/21/16,3/23/16,3/21/16,3/21/16,3/21/16,Lefrak
04401806A,5803  GLENWOOD ROAD,06A,BROOKLYN,AL-58426,AL-58427,3/18/16 16:21,3/18/16 16:29,3,0,62,23,93.7,93.6,3/23/16,3/23/16,3/23/16,3/22/16,3/22/16,3/22/16,Lefrak
08001101A,580  CASTLE HILL AVENUE,01A,BRONX,AL-58560,AL-58561,3/18/16 17:08,3/18/16 17:10,3,3,205,78,255.2,252.1,3/24/16,3/20/16,3/24/16,3/23/16,3/21/16,3/21/16,Lefrak
05300807B,65-24  PARSONS BOULEVARD,07B,FLUSHING,AL-58470,AL-58471,3/18/16 17:00,3/18/16 17:02,3,0,68,13,91.3,91.1,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
05500301C,14-68  BEACH CHANNEL DRIVE,01C,FAR ROCKAWAY,AL-58476,AL-58477,3/18/16 17:30,3/18/16 17:32,3,0,97,16,91.3,90.6,3/18/16,3/18/16,3/21/16,3/21/16,3/20/16,3/20/16,Kingston
13600913F,420  WEST 19TH STREET,13F,NEW YORK,AL-58720,AL-58721,3/18/16 18:42,3/18/16 18:49,3,0,80,10,400.9,394.5,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
03200206A,1435  HARROD AVENUE,06A,BRONX,AL-58388,AL-58389,3/18/16 17:00,3/18/16 17:02,2,0,36,7,282.4,259.1,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,Lefrak
04701909D,660  ARNOW AVENUE,09D,BRONX,AL-58430,AL-58431,3/18/16 16:48,3/18/16 16:50,2,0,56,22,93.5,94.1,3/21/16,3/21/16,3/23/16,3/21/16,3/21/16,3/21/16,Lefrak
04900212J,69  WEST 225TH STREET,12J,BRONX,AL-58446,AL-58447,3/18/16 18:13,3/18/16 18:15,2,0,87,41,98.3,96.8,3/21/16,3/21/16,3/23/16,3/21/16,3/21/16,3/21/16,Lefrak
07800313E,1095  UNIVERSITY AVENUE,13E,BRONX,AL-58550,AL-58551,3/18/16 17:50,3/18/16 17:52,2,0,66,30,95.6,95.1,3/20/16,3/20/16,3/23/16,3/20/16,3/21/16,3/21/16,Lefrak
07907905D,484  COLUMBIA STREET,05D,BROOKLYN,AL-58556,AL-58557,3/18/16 20:03,3/18/16 16:55,2,0,118,18,113.1,95.2,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
08302803H,2369  WEST 11TH STREET,03H,BROOKLYN,AL-58582,AL-58583,3/18/16 16:41,3/18/16 17:00,2,0,73,53,95.7,95.5,3/23/16,3/23/16,3/23/16,3/23/16,3/22/16,3/22/16,Lefrak
00902305B,415  EAST 102ND STREET,05B,NEW YORK,AL-58334,AL-58335,3/18/16 17:34,3/18/16 17:37,2,0,30,10,437.1,445.6,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
02301311I,500  EAST HOUSTON STREET,11I,NEW YORK,AL-58364,AL-58365,3/18/16 16:21,3/18/16 16:23,2,0,48,18,99.1,98.6,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
03000603E,1370  5TH AVENUE,03E,NEW YORK,AL-58378,AL-58379,3/18/16 18:15,3/18/16 18:16,2,3,79,79,429.7,430.9,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
04800705A,34-34  24TH STREET,05A,ASTORIA,AL-58434,AL-58435,3/18/16 17:10,3/18/16 17:14,2,0,176,35,90.9,90.4,3/18/16,3/18/16,3/21/16,3/21/16,3/20/16,3/20/16,Kingston
04801506H,21-30  35TH AVENUE,06H,ASTORIA,AL-58436,AL-58437,3/18/16 18:21,3/18/16 18:23,2,0,56,13,90.7,90.2,3/18/16,3/18/16,3/21/16,3/21/16,3/20/16,3/20/16,Kingston
08700901I,430  WEST 125TH STREET,01I,NEW YORK,AL-58602,AL-58603,3/18/16 16:25,3/18/16 16:26,2,2,16,17,453.5,455.6,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
09700308F,1365  5TH AVENUE,08F,NEW YORK,AL-58652,AL-58653,3/18/16 16:59,3/18/16 17:01,2,0,18,4,408.4,411.3,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
11400502A,27  WARREN STREET,02A,STATEN ISLAND,AL-58692,AL-58693,3/18/16 16:18,3/18/16 16:20,2,0,43,10,93.2,92.9,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
18103305J,345  EAST 101ST STREET,05J,NEW YORK,AL-58778,AL-58779,3/18/16 17:30,3/18/16 17:35,2,0,37,7,412.3,418.9,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
01603903B,550  MOTHER GASTON BOULEVARD,03B,BROOKLYN,AL-58350,AL-58351,3/18/16 17:29,3/18/16 17:30,1,0,25,6,93.4,93.1,3/23/16,3/23/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
03100608C,162  TROY AVENUE,08C,BROOKLYN,AL-58382,AL-58383,3/18/16 16:02,3/18/16 16:04,1,0,74,19,94.8,93.2,3/23/16,3/23/16,3/23/16,3/22/16,3/22/16,3/22/16,Lefrak
04900609F,2861  EXTERIOR STREET,09F,BRONX,AL-58450,AL-58451,3/18/16 17:57,3/18/16 17:57,1,0,45,18,97.4,96.5,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,Lefrak
07002606C,2555  LINDEN BOULEVARD,06C,BROOKLYN,AL-58530,AL-58531,3/18/16 16:01,3/18/16 16:01,1,0,76,28,94.8,93.2,3/21/16,3/21/16,3/23/16,3/21/16,3/21/16,3/21/16,Lefrak
08302105C,2331  WEST 11TH STREET,05C,BROOKLYN,AL-58580,AL-58581,3/18/16 16:31,3/18/16 16:34,1,0,71,26,95.2,95.3,3/21/16,3/21/16,3/23/16,3/21/16,3/21/16,3/21/16,Lefrak
08600811A,130  MOORE STREET,11A,BROOKLYN,AL-58594,AL-58595,3/18/16 17:10,3/18/16 17:11,1,0,79,32,94.1,93.4,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
08900607H,2726  LINDEN BOULEVARD,07H,BROOKLYN,AL-58614,AL-58615,3/18/16 17:19,3/18/16 17:21,1,0,173,20,94.1,93,3/23/16,3/23/16,3/23/16,3/22/16,3/22/16,3/22/16,Lefrak
08901508A,1258  LORING AVENUE,08A,BROOKLYN,AL-58620,AL-58621,3/18/16 17:32,3/18/16 17:54,1,0,306,58,93.3,92.9,3/23/16,3/23/16,3/23/16,3/23/16,3/22/16,3/22/16,Lefrak
09201102B,2085  ROCKAWAY PARKWAY,02B,BROOKLYN,AL-58624,AL-58625,3/18/16 16:27,3/18/16 16:29,1,0,108,13,93.9,93.6,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
09201804E,1610  EAST 102ND STREET,04E,BROOKLYN,AL-58626,AL-58627,3/18/16 16:36,3/18/16 16:39,1,0,116,14,93.9,93.5,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
09501408K,215  COZINE AVENUE,08K,BROOKLYN,AL-58640,AL-58641,3/18/16 16:48,3/18/16 16:50,1,0,69,26,93.8,93.2,3/24/16,3/22/16,3/24/16,3/22/16,3/22/16,3/22/16,Lefrak
10900906I,131  MOORE STREET,06I,BROOKLYN,AL-58674,AL-58675,3/18/16 16:59,3/18/16 17:01,1,0,147,17,94.4,93.5,3/21/16,3/21/16,3/23/16,3/21/16,3/21/16,3/21/16,Lefrak
14101320D,1260  WEBSTER AVENUE,20D,BRONX,AL-58732,AL-58733,3/18/16 17:00,3/18/16 17:02,1,0,179,31,96.4,94.5,3/20/16,3/20/16,3/23/16,3/20/16,3/21/16,3/21/16,Lefrak
30303401B,1230  GATES AVENUE,01B,BROOKLYN,AL-58828,AL-58829,3/18/16 17:10,3/18/16 17:12,1,0,42,7,94.3,93.4,3/23/16,3/23/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
36800302C,1568  STERLING PLACE,02C,BROOKLYN,AL-58854,AL-58855,3/18/16 17:19,3/18/16 17:21,1,0,239,21,94.6,94.2,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
00801103A,107-34  159TH STREET,03A,JAMAICA,AL-58330,AL-58331,3/18/16 16:30,3/18/16 16:34,1,0,47,6,90.8,90.2,3/18/16,3/18/16,3/21/16,3/21/16,3/20/16,3/20/16,Kingston
00902101C,401  EAST 102ND STREET,01C,NEW YORK,AL-58332,AL-58333,3/18/16 17:06,3/18/16 17:09,1,0,280,11,422.3,399.8,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
02201405E,229  WEST 62ND STREET,05E,NEW YORK,AL-58360,AL-58361,3/18/16 18:40,3/18/16 18:41,1,0,116,14,95,94.4,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
04804401B,13-10  34TH AVENUE,01B,ASTORIA,AL-58444,AL-58445,3/18/16 19:00,3/18/16 19:03,1,0,65,12,95.9,95.7,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
06402908C,230  EAST 115TH STREET,08C,NEW YORK,AL-58520,AL-58521,3/18/16 18:43,3/18/16 18:43,1,0,22,7,405.9,416.4,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
09700819G,65  EAST 112TH STREET,19G,NEW YORK,AL-58656,AL-58657,3/18/16 16:30,3/18/16 16:32,1,0,203,120,421.4,420.1,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
20400803B,120  EAST 123RD STREET,03B,NEW YORK,AL-58788,AL-58789,3/18/16 15:30,3/18/16 0:00,1,0,17,32,460.9,439.6,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
20601305M,115  CASSIDY PLACE,05M,STATEN ISLAND,AL-58794,AL-58795,3/18/16 16:31,3/18/16 16:33,1,0,145,36,92.7,92.3,3/18/16,3/18/16,3/21/16,3/21/16,3/20/16,3/20/16,Kingston
27802605A,257  WEST 114TH STREET,05A,NEW YORK,AL-58824,AL-58825,3/18/16 18:51,3/18/16 18:53,1,0,34,18,430.6,432.5,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
31401607S,70  NEW LANE,07S,STATEN ISLAND,AL-58836,AL-58837,3/18/16 16:22,3/18/16 16:24,1,0,63,18,93.9,93,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
01000406C,108  KINGSBOROUGH 1ST WALK,06C,BROOKLYN,AL-58338,AL-58339,3/18/16 16:15,3/18/16 16:20,0,0,267,14,93.3,93.4,3/22/16,3/22/16,3/23/16,3/22/16,3/22/16,3/22/16,Lefrak
01001402D,308  KINGSBOROUGH 3RD WALK,02D,BROOKLYN,AL-58340,AL-58341,3/18/16 16:28,3/18/16 16:33,0,0,27,6,93.9,93.5,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,Lefrak
01002605B,654  KINGSBOROUGH 6TH WALK,05B,BROOKLYN,AL-58342,AL-58343,3/18/16 16:45,3/18/16 16:50,0,0,22,8,93.4,93.5,3/23/16,3/21/16,3/22/16,3/21/16,3/22/16,3/21/16,Lefrak
03200110B,1455  HARROD AVENUE,10B,BRONX,AL-58384,AL-58385,3/18/16 16:47,3/18/16 16:47,0,0,33,8,270,255.6,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,Lefrak
03601001D,3661  NOSTRAND AVENUE,01D,BROOKLYN,AL-58394,AL-58395,3/18/16 16:32,3/18/16 16:32,0,0,70,14,93.7,93.3,3/23/16,3/23/16,3/23/16,3/22/16,3/22/16,3/22/16,Lefrak
04302202A,2344  BRAGG STREET,02A,BROOKLYN,AL-58420,AL-58421,3/18/16 16:45,3/18/16 16:48,0,0,34,6,93.7,93.4,3/23/16,3/23/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
04900614B,2861  EXTERIOR STREET,14B,BRONX,AL-58452,AL-58453,3/18/16 17:46,3/18/16 17:48,0,0,31,21,97,97.2,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,Lefrak
04900703L,5480  BROADWAY,03L,BRONX,AL-58454,AL-58455,3/18/16 17:32,3/18/16 17:35,0,0,26,5,97.2,96.9,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,Lefrak
04901107J,210  WEST 230TH STREET,07J,BRONX,AL-58458,AL-58459,3/18/16 17:17,3/18/16 17:20,0,0,57,32,96.7,97.1,3/21/16,3/21/16,3/23/16,3/21/16,3/21/16,3/21/16,Lefrak
