SiteID,Location,Apt,City,1st_Btl_ID,2nd_Btl_ID,1stDraw_SampDT,2ndDraw_SampDT,1stDraw_Pb_ppb,2ndDraw_Pb_ppb,1stDraw_Cu_ppb,2ndDraw_Cu_ppb,1stDraw_Specific_Conductance_uS/cm,2ndDraw_Specific_Conductance_uS/cm,1stDraw_Pb-TestDT,2ndDraw_Pb-TestDT,1stDraw_Cu-TestDT,2ndDraw_Cu-TestDT,1stDraw_SC-TestDT,2ndDraw_SC-TestDT,Testing_Lab
05606701D,106-22  FARRAGUT ROAD,01D,BROOKLYN,AL-58482,AL-58483,3/18/16 15:56,3/18/16 15:59,0,0,26,7,93.4,93.5,3/23/16,3/23/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
05701311G,1173  229TH DRIVE NORTH,11G,BRONX,AL-58486,AL-58487,3/18/16 16:52,3/18/16 16:56,0,0,31,33,93.3,93.5,3/20/16,3/20/16,3/20/16,3/20/16,3/21/16,3/21/16,Lefrak
05702202D,1127  229TH DRIVE NORTH,02D,BRONX,AL-58488,AL-58489,3/18/16 17:05,3/18/16 17:10,0,0,57,47,95.5,93.7,3/20/16,3/20/16,3/23/16,3/20/16,3/21/16,3/21/16,Lefrak
05703208C,1170  229TH DRIVE SOUTH,08C,BRONX,AL-58490,AL-58491,3/18/16 17:17,3/18/16 17:21,0,0,11,19,93.3,93.5,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,Lefrak
05704810H,1160  229TH DRIVE SOUTH,10H,BRONX,AL-58492,AL-58493,3/18/16 17:32,3/18/16 17:26,0,0,28,41,93.8,93.6,3/20/16,3/20/16,3/20/16,3/20/16,3/21/16,3/21/16,Lefrak
06302106A,2770  DEWEY AVENUE,06A,BRONX,AL-58508,AL-58509,3/18/16 16:30,3/18/16 16:30,0,0,49,22,178.1,172.2,3/21/16,3/21/16,3/23/16,3/21/16,3/21/16,3/21/16,Lefrak
06305901D,2815  SCHLEY AVENUE,01D,BRONX,AL-58512,AL-58513,3/18/16 16:52,3/18/16 16:53,0,0,43,8,182,164.9,3/20/16,3/20/16,3/20/16,3/20/16,3/21/16,3/21/16,Lefrak
06701304A,1040  ROSEDALE AVENUE,04A,BRONX,AL-58526,AL-58527,3/18/16 17:15,3/18/16 17:20,0,0,37,17,264.8,255.5,3/20/16,3/22/16,3/20/16,3/22/16,3/21/16,3/22/16,Lefrak
07200505F,1548  EAST NEW YORK AVENUE,05F,BROOKLYN,AL-58536,AL-58537,3/18/16 16:53,3/18/16 16:55,0,0,29,13,93.2,93.9,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,Lefrak
07200507E,1548  EAST NEW YORK AVENUE,07E,BROOKLYN,AL-58538,AL-58539,3/18/16 16:48,3/18/16 16:50,0,0,31,13,93.5,93.2,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,Lefrak
08000714E,530  OLMSTEAD AVENUE,14E,BRONX,AL-58558,AL-58559,3/18/16 17:38,3/18/16 19:20,0,0,45,15,245.7,242.5,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,Lefrak
08400707F,600  EAST 137TH STREET,07F,BRONX,AL-58588,AL-58589,3/18/16 18:15,3/18/16 18:20,0,1,18,22,93.2,93.8,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,Lefrak
08600315J,849  FLUSHING AVENUE,15J,BROOKLYN,AL-58590,AL-58591,3/18/16 17:11,3/18/16 17:14,0,0,27,13,93.4,93.2,3/23/16,3/23/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
08600316B,849  FLUSHING AVENUE,16B,BROOKLYN,AL-58592,AL-58593,3/18/16 16:59,3/18/16 17:02,0,0,19,20,93.2,93.2,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
08900408A,2678  LINDEN BOULEVARD,08A,BROOKLYN,AL-58612,AL-58613,3/18/16 16:38,3/18/16 16:40,0,0,242,51,93.3,93.2,3/23/16,3/23/16,3/23/16,3/22/16,3/22/16,3/22/16,Lefrak
08901005A,1259  LORING AVENUE,05A,BROOKLYN,AL-58616,AL-58617,3/18/16 16:58,3/18/16 17:00,0,0,15,10,93,93,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
08901108E,1305  LORING AVENUE,08E,BROOKLYN,AL-58618,AL-58619,3/18/16 17:09,3/18/16 17:11,0,0,80,27,93.2,93.3,3/23/16,3/23/16,3/23/16,3/22/16,3/22/16,3/22/16,Lefrak
09500307E,630  STANLEY AVENUE,07E,BROOKLYN,AL-58632,AL-58633,3/18/16 16:15,3/18/16 16:17,0,0,114,21,94.3,93.2,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
09500504A,245  WORTMAN AVENUE,04A,BROOKLYN,AL-58636,AL-58637,3/18/16 16:31,3/18/16 16:31,0,0,33,8,93.3,93.2,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
09600407E,360  DUMONT AVENUE,07E,BROOKLYN,AL-58644,AL-58645,3/18/16 16:57,3/18/16 16:58,0,0,77,39,94.1,93.7,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
09600409F,360  DUMONT AVENUE,09F,BROOKLYN,AL-58646,AL-58647,3/18/16 16:53,3/18/16 16:54,0,0,141,52,94.9,93.9,3/21/16,3/21/16,3/23/16,3/23/16,3/21/16,3/21/16,Lefrak
09600415E,360  DUMONT AVENUE,15E,BROOKLYN,AL-58648,AL-58649,3/18/16 16:59,3/18/16 17:01,0,0,225,73,93.8,94.2,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
10200801D,1358  WASHINGTON AVENUE,01D,BRONX,AL-58670,AL-58671,3/18/16 16:59,3/18/16 17:01,0,0,10,4,94.7,94.8,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,Lefrak
13201003E,169  CYPRESS AVENUE,03E,BRONX,AL-58716,AL-58717,3/18/16 18:15,3/18/16 18:28,0,0,10,13,94,93.5,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,Lefrak
14500106G,303  EAST 135TH STREET,06G,BRONX,AL-58738,AL-58739,3/18/16 17:59,3/18/16 18:02,0,0,31,7,384,381,3/21/16,3/20/16,3/21/16,3/20/16,3/21/16,3/21/16,Lefrak
14500819H,225  WILLIS AVENUE,19H,BRONX,AL-58740,AL-58741,3/18/16 18:14,3/18/16 18:16,0,0,139,35,359,408,3/20/16,3/20/16,3/23/16,3/20/16,3/21/16,3/21/16,Lefrak
16600313K,2832  WEST 23RD STREET,13K,BROOKLYN,AL-58766,AL-58767,3/18/16 16:48,3/18/16 16:53,0,0,35,14,95.8,95.4,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
18001321A,1010  EAST 178TH STREET,21A,BRONX,AL-58774,AL-58775,3/18/16 16:45,3/18/16 19:03,0,0,158,64,91.9,92.9,3/21/16,3/21/16,3/23/16,3/23/16,3/21/16,3/21/16,Lefrak
19600402K,572  WARREN STREET,02K,BROOKLYN,AL-58782,AL-58783,3/18/16 16:33,3/18/16 16:35,0,0,20,7,94.3,94.5,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
21600706K,2949  WEST 28TH STREET,06K,BROOKLYN,AL-58802,AL-58803,3/18/16 17:15,3/18/16 17:16,0,0,85,30,96.1,95.4,3/21/16,3/21/16,3/23/16,3/21/16,3/21/16,3/21/16,Lefrak
21600804E,2925  WEST 27TH STREET,04E,BROOKLYN,AL-58804,AL-58805,3/18/16 17:23,3/18/16 15:24,0,0,46,12,95.2,95.2,3/23/16,3/23/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
23400206J,51  ROSS STREET,06J,BROOKLYN,AL-58810,AL-58811,3/18/16 17:37,3/18/16 17:38,0,0,120,24,93.8,93.9,3/22/16,3/23/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
23400208H,51  ROSS STREET,08H,BROOKLYN,AL-58812,AL-58813,3/18/16 17:30,3/18/16 17:31,0,0,132,18,93.6,93.5,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
32406302F,234  GROVE STREET,02F,BROOKLYN,AL-58844,AL-58845,3/18/16 16:47,3/18/16 16:49,0,0,63,19,93.7,93.3,3/23/16,3/23/16,3/23/16,3/22/16,3/22/16,3/22/16,Lefrak
35701303L,440  BERRY STREET,03L,BROOKLYN,AL-58852,AL-58853,3/18/16 16:45,3/18/16 16:47,0,0,7,7,93.6,93,3/23/16,3/23/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
51401404G,102  CUMBERLAND WALK,04G,BROOKLYN,AL-58864,AL-58865,3/18/16 17:40,3/18/16 17:45,0,0,12,7,93.3,93.8,3/23/16,3/23/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
51401412F,102  CUMBERLAND WALK,12F,BROOKLYN,AL-58866,AL-58867,3/18/16 16:45,3/18/16 15:37,0,0,42,17,93.9,93.4,3/23/16,3/23/16,3/22/16,3/23/16,3/22/16,3/22/16,Lefrak
00100602A,126  EAST 3RD STREET,02A,NEW YORK,AL-58104,AL-58105,3/18/16 17:39,3/18/16 17:41,0,0,17,11,126.2,122.9,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
00303204A,2645  A C POWELL BOULEVARD,04A,NEW YORK,AL-58310,AL-58311,3/18/16 17:12,3/18/16 17:12,0,5,62,335,382.1,390.8,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
02200603E,90  AMSTERDAM AVENUE,03E,NEW YORK,AL-58356,AL-58357,3/18/16 19:00,3/18/16 19:01,0,0,14,6,95,94.9,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
02700715I,388  PEARL STREET,15I,NEW YORK,AL-58370,AL-58371,3/18/16 17:45,3/18/16 17:47,0,0,8,9,95.2,95.3,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
02701015B,40  MADISON STREET,15B,NEW YORK,AL-58372,AL-58373,3/18/16 17:25,3/18/16 17:27,0,0,28,29,95,94.8,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
03800401F,212  WEST 129TH STREET,01F,NEW YORK,AL-58400,AL-58401,3/18/16 18:00,3/18/16 18:02,0,0,15,6,445.1,447.4,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
03800403G,212  WEST 129TH STREET,03G,NEW YORK,AL-58402,AL-58403,3/18/16 18:10,3/18/16 18:12,0,0,9,9,448.2,448.5,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
03801114A,250  WEST 131ST STREET,14A,NEW YORK,AL-58406,AL-58407,3/18/16 18:20,3/18/16 18:22,0,0,135,33,414.4,421,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
04100605F,3758  10TH AVENUE,05F,NEW YORK,AL-58416,AL-58417,3/18/16 16:05,3/18/16 16:07,0,0,7,6,399,399,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
04200102A,773  MANOR ROAD,02A,STATEN ISLAND,AL-58418,AL-58419,3/18/16 18:29,3/18/16 18:31,0,0,78,11,92.4,91.2,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
04800106C,34-03  21ST STREET,06C,ASTORIA,AL-58432,AL-58433,3/18/16 17:37,3/18/16 17:40,0,0,153,10,93.6,93.9,3/18/16,3/18/16,3/21/16,3/21/16,3/20/16,3/20/16,Kingston
04801902F,35-36  24TH STREET,02F,ASTORIA,AL-58438,AL-58439,3/18/16 18:04,3/18/16 18:06,0,0,68,4,90.9,90.8,3/18/16,3/18/16,3/21/16,3/21/16,3/20/16,3/20/16,Kingston
05302203A,65-46  PARSONS BOULEVARD,03A,FLUSHING,AL-58472,AL-58473,3/18/16 17:20,3/18/16 17:22,0,0,69,46,92.4,91.2,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
05309305A,155-22  JEWEL AVENUE,05A,FLUSHING,AL-58474,AL-58475,3/18/16 5:31,3/18/16 5:33,0,0,48,10,91.1,91.1,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
05801101B,1410  PARK AVENUE,01B,NEW YORK,AL-58496,AL-58497,3/18/16 15:53,3/18/16 15:55,0,0,50,13,411.3,416.1,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
06201308G,1875  3RD AVENUE,08G,NEW YORK,AL-58506,AL-58507,3/18/16 16:54,3/18/16 16:56,0,0,66,6,400,397.3,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
06400805C,2225  1ST AVENUE,05C,NEW YORK,AL-58514,AL-58515,3/18/16 18:40,3/18/16 18:40,0,0,51,42,446.9,477.1,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
06401712C,310  EAST 113TH STREET,12C,NEW YORK,AL-58518,AL-58519,3/18/16 18:30,3/18/16 18:30,0,0,13,8,429.5,455.9,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
06605203D,109-10  160TH STREET,03D,JAMAICA,AL-58524,AL-58525,3/18/16 16:50,3/18/16 16:52,0,0,197,11,90.5,90.1,3/18/16,3/18/16,3/21/16,3/21/16,3/20/16,3/20/16,Kingston
07600207H,55  RUTGERS STREET,07H,NEW YORK,AL-58544,AL-58545,3/18/16 16:11,3/18/16 16:13,0,0,23,8,94.6,93.8,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
07701405D,153  BRABANT STREET,05D,STATEN ISLAND,AL-58546,AL-58547,3/18/16 16:08,3/18/16 16:11,0,0,103,12,93.9,93.6,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
08100412A,1430  AMSTERDAM AVENUE,12A,NEW YORK,AL-58570,AL-58571,3/18/16 18:44,3/18/16 18:46,0,0,32,9,96.1,94.7,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
08100507A,1470  AMSTERDAM AVENUE,07A,NEW YORK,AL-58572,AL-58573,3/18/16 18:32,3/18/16 18:34,0,0,38,8,95.5,94.6,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
08100613H,95  OLD BROADWAY,13H,NEW YORK,AL-58576,AL-58577,3/18/16 18:21,3/18/16 18:23,0,0,38,18,95.6,95.3,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
08200916C,875  COLUMBUS AVENUE,16C,NEW YORK,AL-58578,AL-58579,3/18/16 16:48,3/18/16 16:49,0,0,38,11,95.2,94.9,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
08700513B,55  LA SALLE STREET,13B,NEW YORK,AL-58598,AL-58599,3/18/16 17:04,3/18/16 17:05,0,0,8,7,461.1,460.2,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
08700516J,55  LA SALLE STREET,16J,NEW YORK,AL-58600,AL-58601,3/18/16 16:55,3/18/16 16:56,0,0,30,31,431,430.1,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
08700915E,430  WEST 125TH STREET,15E,NEW YORK,AL-58606,AL-58607,3/18/16 16:34,3/18/16 16:35,0,0,13,14,452.5,444.9,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
08700917H,430  WEST 125TH STREET,17H,NEW YORK,AL-58608,AL-58609,3/18/16 16:17,3/18/16 16:18,0,0,33,31,425,423.9,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
09700318D,1365  5TH AVENUE,18D,NEW YORK,AL-58654,AL-58655,3/18/16 16:51,3/18/16 16:52,0,0,14,6,410.2,410.2,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
09800803E,51-45  ALMEDA AVENUE,03E,FAR ROCKAWAY,AL-58658,AL-58659,3/18/16 18:04,3/18/16 18:05,0,0,27,16,91.2,91.3,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
11100215D,2680  FREDERICK DOUGLASS BOULEVARD,15D,NEW YORK,AL-58676,AL-58677,3/18/16 18:15,3/18/16 18:17,0,0,93,10,420.8,418.9,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
11100307L,2698  FREDERICK DOUGLASS BOULEVARD,07L,NEW YORK,AL-58678,AL-58679,3/18/16 18:48,3/18/16 18:50,0,0,35,9,422.1,425.2,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
11100507M,200  WEST 143RD STREET,07M,NEW YORK,AL-58684,AL-58685,3/18/16 18:05,3/18/16 18:07,0,0,52,6,421.4,423.4,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
11200115C,405  EAST 105TH STREET,15C,NEW YORK,AL-58686,AL-58687,3/18/16 19:14,3/18/16 19:18,0,0,33,8,421.2,423.3,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
11600202B,806  HENDERSON AVENUE,02B,STATEN ISLAND,AL-58698,AL-58699,3/18/16 16:14,3/18/16 16:17,0,0,59,20,93.1,92.1,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
12300216F,1760  LEXINGTON AVENUE,16F,NEW YORK,AL-58706,AL-58707,3/18/16 16:42,3/18/16 16:43,0,0,43,31,402.3,396.2,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
12300504A,1405  PARK AVENUE,04A,NEW YORK,AL-58708,AL-58709,3/18/16 16:26,3/18/16 16:27,0,0,23,8,400.4,396.8,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
12300605A,107  EAST 105TH STREET,05A,NEW YORK,AL-58710,AL-58711,3/18/16 16:15,3/18/16 16:16,0,0,74,41,423.2,401.4,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
14801807H,868  AMSTERDAM AVENUE,07H,NEW YORK,AL-58742,AL-58743,3/18/16 16:25,3/18/16 16:28,0,0,55,20,94.9,94.9,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
14900112B,2931  FREDERICK DOUGLASS BOULEVARD,12B,NEW YORK,AL-58744,AL-58745,3/18/16 16:15,3/18/16 16:16,0,1,11,20,412.6,413.6,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
14900505B,2949  FREDERICK DOUGLASS BOULEVARD,05B,NEW YORK,AL-58748,AL-58749,3/18/16 16:20,3/18/16 16:21,0,0,7,7,412.8,412.7,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
14900711L,2991  FREDERICK DOUGLASS BOULEVARD,11L,NEW YORK,AL-58750,AL-58751,3/18/16 16:05,3/18/16 16:07,0,0,31,26,418.8,418.7,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
14900825J,2999  FREDERICK DOUGLASS BOULEVARD,25J,NEW YORK,AL-58752,AL-58753,3/18/16 15:55,3/18/16 15:56,0,0,13,10,414.7,413.9,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
15002907F,830  AMSTERDAM AVENUE,07F,NEW YORK,AL-58754,AL-58755,3/18/16 17:30,3/18/16 17:32,0,0,31,14,95.6,95,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
23200603F,92-33  170TH STREET,03F,JAMAICA,AL-58808,AL-58809,3/18/16 16:30,3/18/16 16:31,0,0,17,10,90.3,90.1,3/18/16,3/18/16,3/21/16,3/21/16,3/20/16,3/20/16,Kingston
31401605A,70  NEW LANE,05A,STATEN ISLAND,AL-58834,AL-58835,3/18/16 16:06,3/18/16 16:08,0,0,80,17,92.5,92.4,3/18/16,3/18/16,3/21/16,3/21/16,3/20/16,3/20/16,Kingston
34000605P,120  WEST 140TH STREET,05P,NEW YORK,AL-58846,AL-58847,3/18/16 18:39,3/18/16 18:42,0,0,242,35,379.1,470.7,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
34400509N,1970  AMSTERDAM AVENUE,09N,NEW YORK,AL-58848,AL-58849,3/18/16 16:16,3/18/16 16:18,0,0,17,36,94.6,94.4,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
37702405D,135  WEST 143RD STREET,05D,NEW YORK,AL-58856,AL-58857,3/18/16 17:33,3/18/16 17:35,0,0,295,85,414.8,419.5,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
37703405F,2449  A C POWELL BOULEVARD,05F,NEW YORK,AL-58858,AL-58859,3/18/16 17:47,3/18/16 17:49,0,0,94,53,410.7,397.9,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
58200110D,840  COLUMBUS AVENUE,10D,NEW YORK,AL-58870,AL-58871,3/18/16 17:15,3/18/16 17:17,0,0,87,16,95,94.2,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8.59999999999999,0,,,,,,,,,,,